date,boleto,credit_card,debit_card,voucher
9/17/2017,3344.62,19035.99,77.89,389.92
9/18/2017,9628.35,21800.57,177.63,928.68
9/19/2017,5970.65,16825.06,0,682.95
9/20/2017,4358.74,20996.54,170.48,644.32
9/21/2017,4311.82,17891.38,88.37,166.62
9/22/2017,5658.66,12990.37,31.24,519.98
9/23/2017,1576.76,10687.64,0,310.43
9/24/2017,2678.3,12460.55,0,741.21
9/25/2017,5645.29,15421.24,53,83.52
9/26/2017,4668.22,19604.27,479.09,544.78
9/27/2017,4782.6,19073.1,27.68,996.56
9/28/2017,4076.76,21700.43,319.8,532.31
9/29/2017,3042.63,31337.12,0,117.72
9/30/2017,2325.45,12365.9,94.13,93.69
10/1/2017,3163.27,18121.91,0,624.25
10/2/2017,3984.29,21005.7,100.78,474.34
10/3/2017,6607.19,22677.15,717.43,387.35
10/4/2017,4773.63,18824.79,0,1189.16
10/5/2017,4884.05,23834.75,157.65,253.38
10/6/2017,3044.64,18157.33,0,688.61
10/7/2017,2213.52,15253.18,191.28,317.43
10/8/2017,2604.92,16415.27,347.7,388.41
10/9/2017,8814.31,24360.11,505.76,1585.39
10/10/2017,6384.16,25389.61,0,785.3
10/11/2017,3750.79,21458.56,360.45,644.98
10/12/2017,2663.13,19320.12,145.09,392.59
10/13/2017,6518.58,19293.82,68.02,709.5
10/14/2017,2942.05,12321.19,35,887.22
10/15/2017,2427.06,18096.78,425.13,404.87
10/16/2017,6676.55,27135.46,255.64,1247.77
10/17/2017,5951.68,28477.55,188.39,670.56
10/18/2017,4679.82,26109.72,467.08,537.05
10/19/2017,5254.51,21233.99,339.64,160.66
10/20/2017,4127.29,17556.4,0,295.51
10/21/2017,4947.04,12180.17,201.92,693.17
10/22/2017,2313.14,20673.37,0,286.54
10/23/2017,6491.2,18662.82,167.08,672.31
10/24/2017,8509.49,17002.84,0,226.94
10/25/2017,4093.8,16600.49,575.29,200.95
10/26/2017,3280.95,22214.09,38.72,881.79
10/27/2017,5385.37,17065.68,114.31,922.81
10/28/2017,909.16,18612.56,0,1050.92
10/29/2017,4378.39,15327.2,281.64,457.45
10/30/2017,4480.81,18597.38,92.57,571.1
10/31/2017,4378.66,22347.9,0,331.66
11/1/2017,7156.59,15057.59,156.79,331.19
11/2/2017,3320.18,21566.55,55.24,75.19
11/3/2017,4190.63,21922.64,114.47,830.78
11/4/2017,4185.34,17304.86,65.71,738.9
11/5/2017,5402.5,15928.62,200.6,220.85
11/6/2017,10381.56,22465.4,167.95,930.23
11/7/2017,3414.9,20066.68,516.83,946.8
11/8/2017,4111.47,18075.03,163.02,1087.18
11/9/2017,6628.18,21537.07,64.1,946.48
11/10/2017,5936.63,16418.21,196.99,1124.87
11/11/2017,5254.52,21880.19,0,443.92
11/12/2017,3341.53,23100.58,162.38,120.59
11/13/2017,7122.43,22180.01,91.95,211.85
11/14/2017,8555.9,22908.12,114.41,434.17
11/15/2017,5302.69,21920.37,62.68,397.61
11/16/2017,9278.75,22802.16,118.62,863.74
11/17/2017,6886.58,27807.31,259.12,433.83
11/18/2017,3542.98,23523.54,365.86,536.19
11/19/2017,2873.76,19907.53,321.58,209.73
11/20/2017,9277.23,40925.86,102.23,315.92
11/21/2017,9444.81,30080.66,64.03,242.35
11/22/2017,6200.2,23914.17,416.34,190.91
11/23/2017,8259.79,43334.26,178.39,812.18
11/24/2017,32249.56,144576.02,759.26,1615.19
11/25/2017,8209.4,62565.41,46.31,1075.89
11/26/2017,6916.38,45375.15,508.45,1139.89
11/27/2017,9384.94,46449.55,379.52,752.27
11/28/2017,12172,43660.07,92.62,783.72
11/29/2017,10445.05,36450.61,94.25,1053.25
11/30/2017,6845.86,29152.45,328.4,700.02
12/1/2017,7320.93,38362.75,0,397.16
12/2/2017,6058.04,28882.49,385.91,582.07
12/3/2017,7273.73,26383.14,673.32,473
12/4/2017,13430.4,42107.49,85.14,602.38
12/5/2017,9463,29874.95,556.86,812.96
12/6/2017,8926.84,36397.82,347.77,477.2
12/7/2017,7270.95,25383.47,367.87,641.91
12/8/2017,7228.1,26757.16,716.24,459.32
12/9/2017,2056.41,20946.99,219.08,417.04
12/10/2017,6699.33,22137.09,207.15,740.69
12/11/2017,7060.38,31658.99,74.56,621.5
12/12/2017,5669.33,34082.25,0,618.81
12/13/2017,7605.05,25051.25,242.65,1486.13
12/14/2017,7041.32,23048.66,0,664.33
12/15/2017,4607.7,26005.67,256.62,581.64
12/16/2017,2662.02,18954.15,327.8,963.08
12/17/2017,1982.26,17239.57,282.18,2601.99
12/18/2017,7613.14,25496.68,38.38,749.93
12/19/2017,6583,16048.31,142.2,1720.77
12/20/2017,6869.84,24295.14,228.34,611.36
12/21/2017,5125.97,15835.2,296.87,288.4
12/22/2017,3730.39,13628.87,367.07,347.14
12/23/2017,2736.59,12306.95,0,1382.1
12/24/2017,959.15,5627,187.96,186.68
12/25/2017,1609.56,10678.19,105.8,268.68
12/26/2017,4838.75,17945.54,0,1013.17
12/27/2017,3399.01,16673.6,410.19,591.49
12/28/2017,1885.84,14717.66,313.79,876.56
12/29/2017,4449.74,15189.68,0,913.22
12/30/2017,1724.35,13096.67,291.59,300
12/31/2017,1702.93,8046.21,0,441.79
1/1/2018,1468.48,6592.66,253.05,172.1
1/2/2018,4389.01,23898.93,95.13,1111.67
1/3/2018,7161.05,28647.38,700.77,645.42
1/4/2018,10166.59,29332.61,76.95,1422
1/5/2018,5352.7,26087.38,274.41,627.46
1/6/2018,8390.77,23250.86,239.82,830.39
1/7/2018,3545.98,29610.5,339.44,497.56
1/8/2018,10763.1,33611.51,402.63,533.36
1/9/2018,6313.13,28451.85,196.55,478.47
1/10/2018,11733.37,31555.1,454.02,1082.44
1/11/2018,12789.02,32454.81,196.52,1306.03
1/12/2018,7276.75,28937.88,34.89,1020.71
1/13/2018,4564.91,25667.72,484.17,2505.58
1/14/2018,4382.75,30529.9,489.83,590.98
1/15/2018,9419.49,32317.28,1025.37,2446.15
1/16/2018,10332.52,39413.82,334.42,1258.62
1/17/2018,6618.1,33716.29,799.3,1018.23
1/18/2018,6134.69,25873.24,335.86,694.9
1/19/2018,6351.08,28013.38,355.04,930.13
1/20/2018,3425.31,22637.37,255.57,641.75
1/21/2018,4117.25,23278.14,414.02,638.01
1/22/2018,6292.47,35561.13,747.88,1266.41
1/23/2018,7260.64,31583.12,763.85,690.72
1/24/2018,6282.41,28656.24,97.86,1988.72
1/25/2018,6684.08,28093.81,0,558.09
